start_id,end_id,type
W2040884411,C81917197,RELATED_TO
W2040884411,C148483581,RELATED_TO
W2040884411,C18762648,RELATED_TO
W2040884411,C2522767166,RELATED_TO
W2040884411,C127413603,RELATED_TO
W2040884411,C78519656,RELATED_TO
W2040884411,C121332964,RELATED_TO
W2040884411,C38652104,RELATED_TO
W2040884411,C120665830,RELATED_TO
W2009086942,A5062571011,WRITTEN_BY
A5062571011,I185261750,AFFILIATED_WITH
W2009086942,C154945302,RELATED_TO
W2009086942,C41008148,RELATED_TO
W2009086942,C119857082,RELATED_TO
W2009086942,C153180895,RELATED_TO
W2559394418,A5079523895,WRITTEN_BY
A5079523895,I125989756,AFFILIATED_WITH
W2559394418,A5056277018,WRITTEN_BY
A5056277018,I179630473,AFFILIATED_WITH
W2559394418,A5077715469,WRITTEN_BY
A5077715469,I4210120293,AFFILIATED_WITH
W2559394418,A5003208881,WRITTEN_BY
A5003208881,I63966007,AFFILIATED_WITH
W2559394418,A5004290683,WRITTEN_BY
A5004290683,I1290206253,AFFILIATED_WITH
W2559394418,A5038060570,WRITTEN_BY
A5038060570,I63966007,AFFILIATED_WITH
W2559394418,C2779094486,RELATED_TO
W2559394418,C41008148,RELATED_TO
W2559394418,C84114770,RELATED_TO
W2559394418,C2777904410,RELATED_TO
W2559394418,C9652623,RELATED_TO
W2559394418,C58053490,RELATED_TO
W2559394418,C154945302,RELATED_TO
W2559394418,C113775141,RELATED_TO
W2559394418,C199360897,RELATED_TO
W2559394418,C121332964,RELATED_TO
W2559394418,C33923547,RELATED_TO
W2559394418,C62520636,RELATED_TO
W2559394418,C202444582,RELATED_TO
W2560674852,C41008148,RELATED_TO
W2560674852,C154945302,RELATED_TO
W2997591727,A5001344255,WRITTEN_BY
W2997591727,A5015155577,WRITTEN_BY
W2997591727,A5082193384,WRITTEN_BY
